name,obj_id,shape_comp_class,input_ply,output_ply
scene000048_im000001_gt000000_obj000001,1,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000048_im000001_gt000000_obj000001.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000048_im000001_gt000000_obj000001/can_completed.ply
scene000048_im000001_gt000001_obj000006,6,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000048_im000001_gt000001_obj000006.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000048_im000001_gt000001_obj000006/can_completed.ply
scene000048_im000001_gt000002_obj000014,14,bowl,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000048_im000001_gt000002_obj000014.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000048_im000001_gt000002_obj000014/bowl_completed.ply
scene000048_im000001_gt000003_obj000019,19,hammer,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000048_im000001_gt000003_obj000019.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000048_im000001_gt000003_obj000019/hammer_completed.ply
scene000048_im000001_gt000004_obj000020,20,hammer,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000048_im000001_gt000004_obj000020.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000048_im000001_gt000004_obj000020/hammer_completed.ply
scene000049_im000001_gt000000_obj000003,3,box,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000049_im000001_gt000000_obj000003.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000049_im000001_gt000000_obj000003/box_completed.ply
scene000049_im000001_gt000001_obj000006,6,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000049_im000001_gt000001_obj000006.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000049_im000001_gt000001_obj000006/can_completed.ply
scene000049_im000001_gt000002_obj000009,9,can,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000049_im000001_gt000002_obj000009.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000049_im000001_gt000002_obj000009/can_completed.ply
scene000049_im000001_gt000003_obj000013,13,bowl,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000049_im000001_gt000003_obj000013.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000049_im000001_gt000003_obj000013/bowl_completed.ply
scene000050_im000620_gt000000_obj000002,2,box,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000050_im000620_gt000000_obj000002.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000050_im000620_gt000000_obj000002/box_completed.ply
scene000050_im000620_gt000002_obj000005,5,bottle,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_inputs/scene000050_im000620_gt000002_obj000005.ply,/home/nina/bop_datasets/ycbv_3dsgrasp_eval_filtered/shape_comp_completions/scene000050_im000620_gt000002_obj000005/bottle_completed.ply
